iter	Passed	Remaining
579	4903	3551
580	4912	3542
581	4921	3534
582	4930	3526
583	4938	3517
584	4947	3509
585	4955	3501
586	4964	3492
587	4972	3484
588	4980	3475
589	4988	3466
590	4997	3458
591	5005	3449
592	5013	3440
593	5022	3432
594	5030	3424
595	5038	3415
596	5047	3407
597	5055	3398
598	5064	3390
599	5072	3381
600	5081	3373
601	5089	3365
602	5097	3356
603	5105	3347
604	5114	3339
605	5122	3330
606	5131	3322
607	5139	3313
608	5147	3305
609	5156	3296
610	5164	3288
611	5173	3279
612	5182	3271
613	5190	3263
614	5199	3254
615	5209	3247
616	5218	3239
617	5227	3231
618	5236	3222
619	5245	3214
620	5253	3206
621	5261	3197
622	5270	3189
623	5279	3180
624	5287	3172
625	5296	3164
626	5304	3155
627	5313	3147
628	5321	3138
629	5330	3130
630	5338	3122
631	5347	3114
632	5356	3105
633	5365	3097
634	5373	3088
635	5381	3080
636	5390	3071
637	5398	3063
638	5407	3054
639	5415	3046
640	5424	3037
641	5432	3029
642	5440	3020
643	5449	3012
644	5458	3004
645	5466	2995
646	5476	2987
647	5485	2979
648	5494	2971
649	5502	2963
650	5511	2954
651	5519	2946
652	5527	2937
653	5536	2928
654	5544	2920
655	5552	2911
656	5561	2903
657	5569	2894
658	5577	2886
659	5586	2877
660	5594	2869
661	5602	2860
662	5611	2852
663	5619	2843
664	5627	2834
665	5635	2826
666	5644	2817
667	5652	2809
668	5660	2800
669	5669	2792
670	5677	2783
671	5685	2775
672	5693	2766
673	5701	2757
674	5711	2749
675	5719	2741
676	5728	2732
677	5736	2724
678	5744	2715
679	5752	2707
680	5760	2698
681	5768	2689
682	5776	2681
683	5786	2673
684	5794	2664
685	5802	2655
686	5810	2647
687	5818	2638
688	5827	2630
689	5836	2622
690	5845	2613
691	5853	2605
692	5861	2596
693	5870	2588
694	5878	2579
695	5886	2571
696	5894	2562
697	5903	2554
698	5911	2545
699	5920	2537
700	5928	2528
701	5936	2520
702	5944	2511
703	5953	2503
704	5961	2494
705	5969	2485
706	5977	2477
707	5985	2468
708	5994	2460
709	6003	2451
710	6011	2443
711	6019	2434
712	6028	2426
713	6036	2418
714	6045	2409
715	6053	2401
716	6062	2393
717	6071	2384
718	6079	2376
719	6087	2367
720	6096	2359
721	6104	2350
722	6113	2342
723	6121	2333
724	6129	2325
725	6138	2316
726	6146	2308
727	6154	2299
728	6163	2291
729	6171	2282
730	6180	2274
731	6189	2265
732	6198	2257
733	6206	2249
734	6215	2240
735	6223	2232
736	6232	2224
737	6241	2215
738	6250	2207
739	6258	2198
740	6266	2190
741	6275	2182
742	6283	2173
743	6292	2165
744	6300	2156
745	6308	2148
746	6317	2139
747	6325	2130
748	6333	2122
749	6342	2114
750	6350	2105
751	6359	2097
752	6367	2088
753	6375	2080
754	6383	2071
755	6392	2063
756	6401	2054
757	6410	2046
758	6419	2038
759	6428	2029
760	6436	2021
761	6444	2012
762	6453	2004
763	6462	1996
764	6470	1987
765	6479	1979
766	6488	1970
767	6496	1962
768	6504	1953
769	6513	1945
770	6521	1937
771	6530	1928
772	6538	1920
773	6548	1912
774	6557	1903
775	6565	1895
776	6574	1886
777	6582	1878
778	6591	1869
779	6599	1861
780	6608	1852
781	6616	1844
782	6624	1835
783	6632	1827
784	6641	1818
785	6649	1810
786	6657	1801
787	6665	1793
788	6674	1784
789	6682	1776
790	6690	1767
791	6698	1759
792	6707	1750
793	6715	1742
794	6723	1733
795	6731	1725
796	6739	1716
797	6747	1708
798	6756	1699
799	6765	1691
800	6774	1682
801	6782	1674
802	6791	1666
803	6799	1657
804	6807	1649
805	6815	1640
806	6824	1632
807	6832	1623
808	6841	1615
809	6849	1606
810	6859	1598
811	6868	1590
812	6876	1581
813	6884	1573
814	6893	1564
815	6902	1556
816	6910	1547
817	6919	1539
818	6927	1530
819	6935	1522
820	6943	1513
821	6952	1505
822	6960	1497
823	6969	1488
824	6977	1480
825	6985	1471
826	6994	1463
827	7002	1454
828	7010	1446
829	7018	1437
830	7027	1429
831	7036	1420
832	7044	1412
833	7053	1403
834	7061	1395
835	7069	1386
836	7077	1378
837	7085	1369
838	7093	1361
839	7101	1352
840	7110	1344
841	7118	1335
842	7126	1327
843	7135	1318
844	7143	1310
845	7151	1301
846	7160	1293
847	7168	1284
848	7176	1276
849	7185	1268
850	7194	1259
851	7202	1251
852	7210	1242
853	7219	1234
854	7227	1225
855	7235	1217
856	7244	1208
857	7252	1200
858	7261	1191
859	7269	1183
860	7277	1174
861	7286	1166
862	7294	1157
863	7302	1149
864	7310	1140
865	7319	1132
866	7327	1124
867	7336	1115
868	7344	1107
869	7352	1098
870	7361	1090
871	7369	1081
872	7377	1073
873	7385	1064
874	7393	1056
875	7402	1047
876	7410	1039
877	7418	1030
878	7426	1022
879	7435	1013
880	7444	1005
881	7454	997
882	7462	988
883	7470	980
884	7479	971
885	7487	963
886	7495	954
887	7504	946
888	7512	938
889	7520	929
890	7529	921
891	7538	912
892	7547	904
893	7556	895
894	7565	887
895	7573	879
